regulator	replicate	fastq_1	fastq_2
COM2xstandard	C	fastq/SRX20967378_SRR25220734_1.fastq.gz	fastq/SRX20967378_SRR25220734_2.fastq.gz
BUR6xstandard	A	fastq/SRX20967289_SRR25220823_1.fastq.gz	fastq/SRX20967289_SRR25220823_2.fastq.gz
BUR6xstandard	B	fastq/SRX20967290_SRR25220822_1.fastq.gz	fastq/SRX20967290_SRR25220822_2.fastq.gz
BUR6xstandard	C	fastq/SRX20967291_SRR25220821_1.fastq.gz	fastq/SRX20967291_SRR25220821_2.fastq.gz
RAD4xstandard	A	fastq/SRX20967046_SRR25220450_1.fastq.gz	fastq/SRX20967046_SRR25220450_2.fastq.gz
RAD4xstandard	B	fastq/SRX20967047_SRR25220449_1.fastq.gz	fastq/SRX20967047_SRR25220449_2.fastq.gz
RAD4xstandard	C	fastq/SRX20967048_SRR25220448_1.fastq.gz	fastq/SRX20967048_SRR25220448_2.fastq.gz
RPH1xstandard	A	fastq/SRX20967219_SRR25220585_1.fastq.gz	fastq/SRX20967219_SRR25220585_2.fastq.gz
RPH1xstandard	B	fastq/SRX20967220_SRR25220584_1.fastq.gz	fastq/SRX20967220_SRR25220584_2.fastq.gz
RPH1xstandard	C	fastq/SRX20967221_SRR25220583_1.fastq.gz	fastq/SRX20967221_SRR25220583_2.fastq.gz
BMH1xstandard	A	fastq/SRX20967286_SRR25220826_1.fastq.gz	fastq/SRX20967286_SRR25220826_2.fastq.gz
BMH1xstandard	B	fastq/SRX20967287_SRR25220825_1.fastq.gz	fastq/SRX20967287_SRR25220825_2.fastq.gz
BMH1xstandard	C	fastq/SRX20967288_SRR25220824_1.fastq.gz	fastq/SRX20967288_SRR25220824_2.fastq.gz
GAT1xstandard	A	fastq/SRX20967480_SRR25220632_1.fastq.gz	fastq/SRX20967480_SRR25220632_2.fastq.gz
GAT1xstandard	B	fastq/SRX20967481_SRR25220631_1.fastq.gz	fastq/SRX20967481_SRR25220631_2.fastq.gz
GAT1xstandard	C	fastq/SRX20967482_SRR25220630_1.fastq.gz	fastq/SRX20967482_SRR25220630_2.fastq.gz
EPL1xstandard	A	fastq/SRX20967448_SRR25220664_1.fastq.gz	fastq/SRX20967448_SRR25220664_2.fastq.gz
EPL1xstandard	B	fastq/SRX20967449_SRR25220663_1.fastq.gz	fastq/SRX20967449_SRR25220663_2.fastq.gz
EPL1xstandard	C	fastq/SRX20967450_SRR25220662_1.fastq.gz	fastq/SRX20967450_SRR25220662_2.fastq.gz
HAC1xstandard	A	fastq/SRX20967498_SRR25220614_1.fastq.gz	fastq/SRX20967498_SRR25220614_2.fastq.gz
HAC1xstandard	B	fastq/SRX20967499_SRR25220613_1.fastq.gz	fastq/SRX20967499_SRR25220613_2.fastq.gz
HAC1xstandard	C	fastq/SRX20967500_SRR25220612_1.fastq.gz	fastq/SRX20967500_SRR25220612_2.fastq.gz
SWP82xstandard	A	fastq/SRX20967357_SRR25220755_1.fastq.gz	fastq/SRX20967357_SRR25220755_2.fastq.gz
SWP82xstandard	B	fastq/SRX20967358_SRR25220754_1.fastq.gz	fastq/SRX20967358_SRR25220754_2.fastq.gz
SWP82xstandard	C	fastq/SRX20967359_SRR25220753_1.fastq.gz	fastq/SRX20967359_SRR25220753_2.fastq.gz
PHO4xstandard	A	fastq/SRX20967031_SRR25220465_1.fastq.gz	fastq/SRX20967031_SRR25220465_2.fastq.gz
PHO4xstandard	B	fastq/SRX20967032_SRR25220464_1.fastq.gz	fastq/SRX20967032_SRR25220464_2.fastq.gz
PHO4xstandard	C	fastq/SRX20967033_SRR25220463_1.fastq.gz	fastq/SRX20967033_SRR25220463_2.fastq.gz
PDR1xstandard	A	fastq/SRX20967171_SRR25220325_1.fastq.gz	fastq/SRX20967171_SRR25220325_2.fastq.gz
PDR1xstandard	B	fastq/SRX20967172_SRR25220324_1.fastq.gz	fastq/SRX20967172_SRR25220324_2.fastq.gz
